epoch,accuracy,loss,val_accuracy,val_loss
0,0.5223000049591064,0.6922801733016968,0.5248869061470032,0.6917300820350647
1,0.5223000049591064,0.6920093894004822,0.5250028967857361,0.6904992461204529
2,0.5769500136375427,0.6594411134719849,0.6294233798980713,0.6217941641807556
3,0.7031000256538391,0.574593722820282,0.7329156398773193,0.5374383330345154
4,0.8065500259399414,0.4534539580345154,0.7874463200569153,0.45598775148391724
5,0.840149998664856,0.37971818447113037,0.7622693777084351,0.48831766843795776
6,0.856249988079071,0.34740933775901794,0.8002088665962219,0.4518066644668579
7,0.864300012588501,0.32858404517173767,0.8011370301246643,0.4388488829135895
8,0.8679500222206116,0.3105039894580841,0.7880264520645142,0.4590300917625427
9,0.8785499930381775,0.29765456914901733,0.7828054428100586,0.43578749895095825
10,0.8817499876022339,0.28528323769569397,0.8021812438964844,0.44932571053504944
11,0.8894500136375427,0.2737710177898407,0.8018331527709961,0.422335684299469
12,0.8927000164985657,0.2666073739528656,0.8040375709533691,0.4313912093639374
13,0.8957499861717224,0.258527010679245,0.7995126843452454,0.49049288034439087
14,0.900950014591217,0.25243687629699707,0.804617702960968,0.46795976161956787
15,0.9028000235557556,0.24504052102565765,0.8005568981170654,0.4646119475364685
16,0.9056500196456909,0.24036531150341034,0.803457498550415,0.4300469160079956
17,0.9068499803543091,0.2325923889875412,0.8017171621322632,0.4568325877189636
18,0.9114999771118164,0.2232041209936142,0.8017171621322632,0.492903470993042
19,0.9162499904632568,0.21721330285072327,0.7838496565818787,0.5015175938606262
20,0.9211000204086304,0.2107323706150055,0.798584520816803,0.4839824140071869
21,0.9233499765396118,0.2027541846036911,0.778744637966156,0.4707021415233612
End Of The Trainning
0,0.521049976348877,0.6923840045928955,0.5248869061470032,0.6922186613082886
1,0.5235000252723694,0.6920338273048401,0.5285996198654175,0.6903044581413269
2,0.5949000120162964,0.6505471467971802,0.5919480323791504,0.6408104300498962
3,0.739799976348877,0.5370028018951416,0.7806010246276855,0.48931124806404114
4,0.8162000179290771,0.43169981241226196,0.7988165616989136,0.44626346230506897
5,0.8384000062942505,0.37051552534103394,0.7867501974105835,0.48521044850349426
6,0.8523499965667725,0.34688371419906616,0.8017171621322632,0.4350901246070862
7,0.8557999730110168,0.3278748691082001,0.7978883981704712,0.4389857053756714
8,0.8658999800682068,0.31241241097450256,0.8018331527709961,0.4804234206676483
9,0.871649980545044,0.2984734773635864,0.7995126843452454,0.44214898347854614
10,0.8762999773025513,0.28880682587623596,0.7925513386726379,0.4604640305042267
11,0.8823500275611877,0.28175216913223267,0.7983524799346924,0.44818374514579773
12,0.8889999985694885,0.2684735059738159,0.8039215803146362,0.4793437123298645
13,0.8917499780654907,0.2645067274570465,0.8050817847251892,0.47729483246803284
14,0.8920000195503235,0.2574024796485901,0.7982364296913147,0.4596753418445587
15,0.894349992275238,0.25225093960762024,0.8000928163528442,0.44993487000465393
16,0.8971999883651733,0.24692335724830627,0.7982364296913147,0.47202199697494507
End Of The Trainning
0,0.5217499732971191,0.6921799182891846,0.5248869061470032,0.6908597350120544
1,0.5502499938011169,0.6731528639793396,0.5248869061470032,0.6674787998199463
2,0.6891000270843506,0.5800994038581848,0.7770043015480042,0.4977402091026306
3,0.8029500246047974,0.4411863684654236,0.7496229410171509,0.486951619386673
4,0.8334500193595886,0.38245707750320435,0.7927833795547485,0.45761725306510925
0,0.522849977016449,0.6920638084411621,0.5251189470291138,0.6892563104629517
1,0.7335000038146973,0.544447660446167,0.8302587270736694,0.44145849347114563
2,0.850849986076355,0.37605980038642883,0.8315349817276001,0.41843515634536743
3,0.8766499757766724,0.3011156916618347,0.8379162549972534,0.3431312143802643
4,0.8908500075340271,0.2743625342845917,0.8444135189056396,0.3710367977619171
5,0.9011499881744385,0.25571250915527344,0.8546234965324402,0.3430235683917999
6,0.9046499729156494,0.23912177979946136,0.8456897735595703,0.3543471693992615
7,0.9121000170707703,0.22998036444187164,0.8512588739395142,0.3548143804073334
8,0.9152500033378601,0.2199067622423172,0.8462698459625244,0.35262975096702576
9,0.9199000000953674,0.20935021340847015,0.8532312512397766,0.3403578996658325
10,0.9243000149726868,0.20055986940860748,0.8516069054603577,0.35733234882354736
11,0.9271000027656555,0.19245517253875732,0.8521870374679565,0.4003920555114746
12,0.9301999807357788,0.186902716755867,0.8461538553237915,0.348149836063385
13,0.9320999979972839,0.17963305115699768,0.8410488367080688,0.36392611265182495
14,0.9370499849319458,0.17411041259765625,0.8368720412254333,0.3892386257648468
15,0.9406499862670898,0.1661897897720337,0.8451096415519714,0.4363381266593933
16,0.940850019454956,0.15938857197761536,0.8311868906021118,0.3900173306465149
17,0.9450500011444092,0.15375320613384247,0.8376842141151428,0.37161269783973694
18,0.9496999979019165,0.1448083221912384,0.8383803367614746,0.4375350773334503
19,0.9517499804496765,0.13909079134464264,0.8263139724731445,0.3925871253013611
End Of The Trainning
0,0.5214499831199646,0.6923098564147949,0.5248869061470032,0.6911795735359192
1,0.5737500190734863,0.6694689989089966,0.6093514561653137,0.6380389928817749
2,0.7141000032424927,0.5616021752357483,0.6820976734161377,0.6438643932342529
3,0.798550009727478,0.47075116634368896,0.7889546155929565,0.4828670024871826
4,0.8353999853134155,0.39824938774108887,0.7786285877227783,0.45194336771965027
5,0.8481500148773193,0.3523792028427124,0.7956839799880981,0.49077552556991577
6,0.8565000295639038,0.33256757259368896,0.7945237159729004,0.46839767694473267
7,0.8629500269889832,0.3188011050224304,0.7793247699737549,0.45311883091926575
